annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
10-2019,Automatique,SPOTICAR AUTOBERNARD SEYNOD,Peugeot 3008,Essence,52 920 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2844202_1.JPG,24 480 €,1.2 PureTech 130ch GT Line S&S EAT8  6cv
10-2020,Manuelle,SPOTICAR AUTOBERNARD LA RAVOIRE,Peugeot 5008,Essence,24 364 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2844176_1.JPG,24 990 €,1.2 PureTech 130ch S&S Active
05-2023,Automatique,SPOTICAR AUTOBERNARD CHAMBERY,Peugeot 408,Essence,8 000 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-408-2844153_1.JPG,38 000 €,1.2 PureTech 130ch S&S GT EAT8
01-2020,Manuelle,SPOTICAR AUTOBERNARD CHAMBERY,Peugeot 208,Essence,38 926 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2844150_1.JPG,17 880 €,1.2 PureTech 100ch S&S Allure
04-2023,Automatique,SPOTICAR GEMY VANNES,Peugeot 208,Essence,12 560 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2843762_1.JPG,21 900 €,PureTech 100 S&S EAT8 Allure
11-2020,Automatique,SPOTICAR GEMY CHATEAUBRIANT,Peugeot 2008,Electrique,70 679 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2843746_1.JPG,21 985 €,Moteur electrique 136 ch GT Line
10-2019,Automatique,SPOTICAR CLARIS AUTOMOBILES CHOLET,Citroën C5 Aircross,Essence,55 642 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2843745_1.JPG,25 990 €,PURETECH 180 S&S EAT8 SHINE
09-2020,Automatique,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Peugeot 308,Diesel,56 900 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2843742_1.JPG,22 490 €,BlueHDi 130ch S&S EAT8 GT Pack
05-2020,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Opel Corsa,Diesel,56 786 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/OPEL-CORSA-2843741_1.JPG,14 490 €,1.5 DIESEL 100 CH BVM6 Edition
08-2020,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Peugeot 208,Diesel,36 486 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2843727_1.JPG,18 990 €,BlueHDi 100 S&S BVM6 Active Business
